Date, Close/Last, Volume, Open, High, Low
01/20/2021, $36.5, 35400060, $36.79, $36.81, $36.46
01/19/2021, $36.73, 33451280, $36.76, $37, $36.62
01/15/2021, $36.7, 34287820, $36.68, $36.78, $36.4
01/14/2021, $36.75, 30271990, $36.78, $36.96, $36.61
01/13/2021, $36.86, 31027870, $37, $37.17, $36.64
01/12/2021, $37.18, 47831080, $37.7, $37.7859, $36.82
01/11/2021, $37.77, 47326590, $37.22, $37.83, $37.145
01/08/2021, $37.13, 33462370, $37.16, $37.525, $36.9
01/07/2021, $37.06, 27809480, $37.04, $37.15, $36.67
01/06/2021, $36.87, 34962510, $36.83, $37.48, $36.77
01/05/2021, $37.19, 29909380, $36.72, $37.37, $36.6
01/04/2021, $36.81, 33565680, $36.87, $36.94, $36.27
12/31/2020, $36.81, 30796520, $36.66, $36.92, $36.29
12/30/2020, $36.74, 24889850, $37.03, $37.24, $36.7
12/29/2020, $37.05, 23152070, $36.9, $37.2, $36.79
12/28/2020, $36.82, 26993690, $37.36, $37.58, $36.68
12/24/2020, $37.27, 14790140, $37.4, $37.57, $37.18
12/23/2020, $37.44, 36181990, $37.01, $37.65, $36.88
12/22/2020, $36.74, 34103900, $37.21, $37.33, $36.605
12/21/2020, $37.38, 40891840, $37.28, $37.4, $36.91
12/18/2020, $37.68, 60259180, $37.99, $38.09, $37.5
12/17/2020, $38.03, 52036390, $37.83, $38.12, $37.31
12/16/2020, $37.84, 56515270, $38.18, $38.47, $37.74
12/15/2020, $38.71, 66003270, $39.06, $39.18, $38.21
12/14/2020, $39.21, 94809750, $41.62, $41.66, $39.07
12/11/2020, $41.12, 60737030, $41.97, $42.07, $40.69
12/10/2020, $41.73, 57749200, $41.82, $42.22, $41.445
12/09/2020, $41.85, 86118490, $43.07, $43.0797, $41.13
12/08/2020, $42.56, 87039310, $41.4, $42.77, $41.35
12/07/2020, $41.25, 48253740, $40.66, $41.4, $40.37
12/04/2020, $40.34, 35368130, $39.89, $40.45, $39.89
12/03/2020, $40.09, 68570060, $40.98, $41.03, $39.52
12/02/2020, $40.8, 84347480, $40.47, $41.41, $40.3
12/01/2020, $39.41, 72660820, $39.4, $40.5, $39.01
11/30/2020, $38.31, 65425880, $37.95, $38.8, $37.6
11/27/2020, $37.23, 25276960, $36.78, $37.26, $36.75
11/25/2020, $36.53, 26955800, $36.53, $36.56, $36.24
11/24/2020, $36.6, 42485260, $36.13, $36.74, $36.02
11/23/2020, $36.52, 43673120, $37.03, $37.09, $36.21
11/20/2020, $36.7, 60633850, $36.7, $37.31, $36.44
11/19/2020, $36.19, 43261830, $36.6, $36.63, $35.86
11/18/2020, $36.32, 63442680, $36.93, $37.42, $36.3
11/17/2020, $36.04, 46984500, $36.489, $36.5, $35.82
11/16/2020, $36.489, 71660460, $37.0071, $37.095, $36.0198
11/13/2020, $37.7499, 38254930, $37.0168, $37.7841, $36.8556
11/12/2020, $36.704, 44422020, $37.4176, $37.4762, $36.401
11/11/2020, $37.6326, 55959200, $38.0041, $39.2943, $37.0462
11/10/2020, $37.8086, 75988340, $39.5387, $39.6267, $37.5935
11/09/2020, $38.3169, 218362300, $40.9169, $41.044, $37.5153
11/06/2020, $35.58, 22647720, $35.5702, $35.8927, $35.2769
11/05/2020, $35.5702, 32188800, $36.4108, $36.4597, $35.5702
11/04/2020, $36.489, 38776610, $36.2251, $37.2612, $36.1273
11/03/2020, $35.3747, 20528080, $35.6093, $35.795, $35.2672
11/02/2020, $35.4138, 20332670, $35.1205, $35.4333, $34.7393
10/30/2020, $34.6807, 24334780, $34.4461, $34.7344, $34.0551
10/29/2020, $34.4852, 26134100, $34.6807, $34.8371, $33.8205
