Date, Close/Last, Volume, Open, High, Low
03/24/2021, $211.54, 1522197, $213.61, $214.51, $209.41
03/23/2021, $213.59, 1620721, $219.83, $219.85, $212.11
03/22/2021, $218.82, 1934448, $215.84, $220.33, $215.25
03/19/2021, $216.11, 2098616, $214.44, $216.93, $213.28
03/18/2021, $213.36, 1620825, $214.13, $216.25, $212.65
03/17/2021, $217.08, 1195494, $217.16, $217.88, $214.15
03/16/2021, $218.99, 1367475, $220.6318, $220.6318, $216.715
03/15/2021, $219.65, 1577824, $213.71, $219.85, $213.4784
03/12/2021, $214.33, 1162690, $214.34, $214.9, $211.26
03/11/2021, $215.15, 1625655, $214.71, $217.68, $214.31
03/10/2021, $214.29, 1938935, $217.3, $217.72, $211.56
03/09/2021, $214.04, 2276742, $217.29, $219.13, $213.86
03/08/2021, $213.58, 3426563, $212.27, $219.3, $211.76
03/05/2021, $211.98, 1704848, $208.23, $212.6, $206.39
03/04/2021, $207.79, 2273296, $207.3, $213.1, $205.8501
03/03/2021, $208.44, 2478417, $212, $213.275, $208.06
03/02/2021, $212.06, 2491514, $211.81, $214.13, $211.45
03/01/2021, $210.38, 1845531, $212.68, $213.69, $209.38
02/26/2021, $212.55, 3083421, $214.67, $215.5, $209.34
02/25/2021, $212.98, 1830557, $215.8, $217.4, $210.5
02/24/2021, $217.04, 1775785, $215.82, $220.415, $214.72
02/23/2021, $216.44, 2600916, $215.2, $217.69, $211.67
02/22/2021, $214.96, 3671871, $206.72, $216.215, $204.62
02/19/2021, $207.02, 2231212, $210, $211.73, $206.79
02/18/2021, $209.83, 2127296, $213.56, $213.76, $209.58
02/17/2021, $214.85, 2087066, $209.58, $215, $208.5
02/16/2021, $210.27, 2509723, $213.8, $214.41, $208.61
02/12/2021, $213.98, 1798495, $210.82, $214.36, $210.22
02/11/2021, $210.495, 1893699, $212.48, $212.89, $209.72
02/10/2021, $212.53, 1862967, $215.98, $216.3, $212.02
02/09/2021, $213.82, 1624895, $214.45, $215.59, $212.57
02/08/2021, $214.37, 2141468, $217.13, $218.22, $213.54
02/05/2021, $215.26, 2740472, $214.5, $217.55, $212.26
02/04/2021, $213.71, 2908053, $213.35, $214.79, $211.6475
02/03/2021, $211, 3830177, $218.42, $219.085, $210.99
02/02/2021, $217.33, 6292896, $225.802, $227.9, $216.14
02/01/2021, $231.77, 1927931, $231, $232.38, $226.18
01/29/2021, $229.08, 2029485, $229.45, $232.92, $227.56
01/28/2021, $230.04, 1593618, $226.8, $234.96, $226.57
01/27/2021, $225.25, 2546174, $234, $234, $224.7
01/26/2021, $237.64, 1629293, $240.43, $241.98, $236.24
01/25/2021, $241.31, 1828574, $240.99, $242.99, $239.0453
01/22/2021, $237.59, 1258224, $237.25, $241.83, $236.99
01/21/2021, $238.64, 1624536, $237.06, $239.75, $232.78
01/20/2021, $236.7, 1608815, $233.29, $239.3608, $231.18
01/19/2021, $231.91, 2044843, $227, $233.88, $223.31
01/15/2021, $225.55, 2242187, $226.59, $227.6, $224.39
01/14/2021, $226.12, 1728068, $228.22, $228.395, $224.7
01/13/2021, $227.1, 1809591, $230.2, $231.055, $226.94
01/12/2021, $229.38, 1816945, $234.8, $238.26, $228.74
01/11/2021, $234.64, 2263226, $235.58, $236.47, $227.38
01/08/2021, $237, 1231193, $233.86, $237.76, $233.01
01/07/2021, $232.9, 1503978, $227.9, $233.97, $227.2
01/06/2021, $226.65, 2306943, $225.1, $227.51, $222.31
01/05/2021, $228.58, 1730541, $228.84, $229.92, $225.09
01/04/2021, $229.43, 2117690, $237.91, $238.08, $226.27
12/31/2020, $236.34, 1161200, $232.35, $237.5, $230.325
12/30/2020, $232.68, 819113, $235, $237.01, $232.07
12/29/2020, $233.49, 656798, $233.94, $236.56, $232.96
12/28/2020, $232.47, 903252, $235.4, $236.48, $232.2
12/24/2020, $234.46, 451669, $237.17, $237.5, $233.48
12/23/2020, $235.84, 1013122, $235.4, $238.57, $234.08
12/22/2020, $234.9, 1128635, $235.01, $235.795, $232.35
12/21/2020, $234.55, 1567185, $233.02, $235.58, $228.8
12/18/2020, $236.72, 2929448, $238.54, $239.71, $234.47
12/17/2020, $236.92, 1992842, $233, $237.35, $232.32
12/16/2020, $232.11, 1708917, $229.66, $232.75, $228.55
12/15/2020, $228.81, 1189846, $229.7, $230.6, $226
