Date, Close/Last, Volume, Open, High, Low
01/20/2021, $11.7, 13293720, $12.44, $12.44, $11.55
01/19/2021, $12.35, 8718640, $12.64, $12.72, $12.156
01/15/2021, $12.39, 7429622, $12.835, $12.85, $12.16
01/14/2021, $12.81, 7962073, $12.62, $13.1, $12.42
01/13/2021, $12.6, 6465510, $12.78, $12.825, $12.365
01/12/2021, $12.87, 7732097, $12.868, $13.2, $12.51
01/11/2021, $12.9, 8248550, $13.17, $13.59, $12.7
01/08/2021, $12.7, 5460616, $12.56, $13.12, $12.31
01/07/2021, $12.43, 5950538, $12.297, $12.54, $12.01
01/06/2021, $12, 12266840, $12.52, $12.78, $11.66
01/05/2021, $12.63, 5182359, $12.56, $12.89, $12.35
01/04/2021, $12.95, 6994336, $13.83, $13.83, $12.4
12/31/2020, $13.13, 6218491, $13.12, $13.44, $12.88
12/30/2020, $13.08, 8041944, $13.27, $13.49, $12.76
12/29/2020, $13.16, 7492456, $13.86, $13.99, $12.81
12/28/2020, $13.81, 11931900, $13.95, $14.38, $13.41
12/24/2020, $12.75, 10750100, $12.9, $13.59, $12.65
12/23/2020, $12.11, 15754900, $11.2, $12.32, $11
12/22/2020, $11.13, 4425359, $11.19, $11.38, $11.05
12/21/2020, $10.98, 5040246, $10.8, $11.14, $10.7987
12/18/2020, $10.72, 3730667, $10.76, $10.88, $10.6589
12/17/2020, $10.72, 3925178, $10.99, $11.11, $10.65
12/16/2020, $10.71, 2403778, $10.7, $10.81, $10.62
12/15/2020, $10.89, 4916928, $11.06, $11.13, $10.51
12/14/2020, $11.19, 5613353, $11.41, $11.78, $11.1
12/11/2020, $11.22, 7679660, $11.49, $11.83, $11
12/10/2020, $11.4, 8305315, $11, $11.49, $10.9
12/09/2020, $10.92, 9825359, $10.84, $11.685, $10.69
12/08/2020, $10.55, 4473570, $10.7, $10.74, $10.51
12/07/2020, $10.6, 9747326, $11, $11.0793, $10.45
12/04/2020, $10.32, 2701509, $10.4, $10.42, $10.27
12/03/2020, $10.18, 826200, $10.12, $10.23, $10.07
12/02/2020, $10.05, 299925, $10.14, $10.15, $10.04
12/01/2020, $10.12, 370108, $10.19, $10.19, $10.11
11/30/2020, $10.16, 510476, $10.15, $10.22, $10.1089
11/27/2020, $10.13, 254084, $10.1, $10.15, $10
11/25/2020, $10.04, 341667, $10.1, $10.1, $10.02
11/24/2020, $10.03, 112569, $10.04, $10.05, $9.9896
11/23/2020, $10.03, 152763, $10.1, $10.1, $10
11/20/2020, $10.06, 1603479, $10.04, $10.1, $10.01
11/19/2020, $10.02, 615927, $9.96, $10.05, $9.96
11/18/2020, $10, 491767, $10, $10.01, $9.98
11/17/2020, $9.99, 124229, $9.98, $10, $9.96
11/16/2020, $9.99, 86178, $9.99, $10, $9.96
11/13/2020, $9.99, 77738, $9.99, $10, $9.94
11/12/2020, $9.98, 39803, $9.97, $9.99, $9.93
11/11/2020, $9.96, 519975, $9.99, $9.99, $9.93
11/10/2020, $9.93, 350801, $9.93, $9.99, $9.92
11/09/2020, $9.93, 108859, $9.99, $9.99, $9.91
11/06/2020, $9.92, 216989, $9.98, $9.99, $9.9
11/05/2020, $9.95, 213322, $9.98, $9.99, $9.93
11/04/2020, $9.93, 112288, $9.97, $9.97, $9.93
11/03/2020, $9.93, 255047, $9.96, $9.96, $9.92
11/02/2020, $9.92, 521693, $9.96, $9.98, $9.91
10/30/2020, $9.95, 331207, $9.9, $9.95, $9.9
10/29/2020, $9.9, 174024, $9.91, $9.9448, $9.9
10/28/2020, $9.91, 160103, $9.93, $9.95, $9.91
10/27/2020, $9.94, 170660, $9.97, $9.9749, $9.93
10/26/2020, $9.94, 462238, $9.93, $9.965, $9.93
10/23/2020, $9.93, 724153, $9.95, $9.99, $9.93
10/22/2020, $9.95, 368579, $9.98, $9.995, $9.95
10/21/2020, $9.98, 387170, $10.04, $10.04, $9.93
10/20/2020, $10.03, 614612, $10.11, $10.16, $10
10/19/2020, $10.03, 491766, $10.09, $10.1, $10.0247
10/16/2020, $10.01, 2259694, $10.02, $10.14, $9.9701
10/15/2020, $10.005, 77857, $10, $10.01, $9.95
10/14/2020, $10, 115188, $9.99, $10.01, $9.96
10/13/2020, $10, 229684, $10, $10.06, $9.96
10/12/2020, $9.99, 195203, $9.98, $10, $9.96
10/09/2020, $9.98, 408275, $9.98, $10, $9.96
10/08/2020, $9.99, 2390515, $10, $10, $9.95
10/07/2020, $9.99, 1410040, $10.05, $10.074, $9.95
10/06/2020, $10.05, 515027, $10.02, $10.11, $9.93
10/05/2020, $10.03, 1795196, $10.1, $10.13, $10
10/02/2020, $10.13, 627732, $10.19, $10.19, $10.0326
10/01/2020, $10.17, 622512, $10.45, $10.45, $10.12
09/30/2020, $10.31, 1069473, $10.43, $10.44, $10.22
09/29/2020, $10.45, 1037412, $10.46, $10.5, $10.42
09/28/2020, $10.46, 588955, $10.49, $10.5, $10.3
09/25/2020, $10.35, 1515058, $10.29, $10.5, $10.17
09/24/2020, $10.2, 1966306, $10.53, $10.5494, $10.14
09/23/2020, $10.45, 8549849, $11.35, $11.39, $10.35
09/22/2020, $10.81, 43102, $10.907, $10.98, $10.6
09/21/2020, $10.94, 86389, $11, $11.2, $10.72
09/18/2020, $11, 237434, $10.7801, $11, $10.7801
09/17/2020, $10.85, 40813, $10.85, $10.9, $10.75
09/16/2020, $10.76, 13768, $10.82, $10.85, $10.65
09/15/2020, $10.69, 14261, $10.85, $10.85, $10.68
09/14/2020, $10.8, 13183, $10.8, $10.8, $10.5601
09/11/2020, $10.8, 12879, $10.66, $10.85, $10.65
09/10/2020, $10.78, 17137, $10.8, $10.8, $10.7
09/09/2020, $10.8, 247841, $10.85, $10.85, $10.66
09/08/2020, $10.75, 73228, $10.75, $10.98, $10.66
09/04/2020, $10.6, 925930, $10.719, $10.84, $10.5
09/03/2020, $10.51, 55358, $10.62, $10.6729, $10.51
09/02/2020, $10.88, 143586, $10.6, $10.94, $10.54
09/01/2020, $10.5, 1660, $10.54, $10.54, $10.5
08/31/2020, $10.54, 1889, $10.557, $10.64, $10.54
08/28/2020, $10.72, 722083, $10.5, $10.83, $10.5
08/27/2020, $10.47, 16410, $10.48, $10.5, $10.45
08/26/2020, $10.5, 271121, $10.425, $10.5, $10.4
08/25/2020, $10.5, 58432, $10.5, $10.5, $10.31
08/24/2020, $10.5, 13149, $10.7, $10.7, $10.4
08/21/2020, $10.39, 3736, $10.44, $10.5, $10.39
08/20/2020, $10.46, 89800, $10.3, $10.47, $10.185
08/19/2020, $10.35, 139093, $10.42, $10.64, $10.35
08/18/2020, $10.37, 47152, $10.5, $10.59, $10.31
08/17/2020, $10.59, N/A, $10.59, $10.59, $10.59
08/14/2020, $10.59, 253107, $10.55, $10.65, $10.51
08/13/2020, $10.58, 19160, $10.6, $10.95, $10.58
08/12/2020, $10.8325, 56416, $10.76, $10.93, $10.76
08/11/2020, $10.785, 44716, $10.66, $10.79, $10.65
08/10/2020, $10.69, 16594, $10.47, $10.7, $10.4696
08/07/2020, $10.57, 273986, $10.5, $10.83, $10.45
08/06/2020, $10.5, 2503, $10.5, $10.5, $10.48
08/05/2020, $10.47, 8215, $10.47, $10.5, $10.36
08/04/2020, $10.49, 4719, $10.43, $10.49, $10.27
08/03/2020, $10.35, 67835, $10.32, $10.35, $10.3
07/31/2020, $10.26, 257269, $10.32, $10.38, $10.12
07/30/2020, $10.4, 1070, $10.3601, $10.4, $10.3601
07/29/2020, $10.49, 2408, $10.7, $10.7, $10.49
07/28/2020, $10.56, N/A, $10.56, $10.56, $10.56
07/27/2020, $10.56, 36703, $10.51, $10.64, $10.45
07/24/2020, $10.55, 37972, $10.44, $10.665, $10.4
07/23/2020, $10.74, 710, $10.9509, $10.9509, $10.74
07/22/2020, $10.58, 1792, $10.58, $10.59, $10.5
07/21/2020, $10.6, 1659522, $10.4, $10.6, $10.4
07/20/2020, $10.36, 591, $10.36, $10.36, $10.36
07/17/2020, $10.5, 51261, $10.3085, $10.5, $10.3085
07/16/2020, $10.58, 35880, $10.58, $10.76, $10.25
07/15/2020, $10.38, 5790, $10.33, $10.38, $10.33
07/14/2020, $10.55, 499, $10.55, $10.55, $10.55
07/13/2020, $10.45, 38912, $10.3, $10.53, $10.29
07/10/2020, $10.35, 24866, $10.2, $10.35, $10.2
07/09/2020, $10.2, 800, $10.25, $10.3, $10.2
07/08/2020, $10.2, N/A, $10.2, $10.2, $10.2
07/07/2020, $10.2, N/A, $10.2, $10.2, $10.2
07/06/2020, $10.2, N/A, $10.2, $10.2, $10.2
07/02/2020, $10.2, 11525, $10.21, $10.2677, $10.2
07/01/2020, $10.2, 33894, $10.07, $10.47, $10.07
06/30/2020, $10.14, 17172, $10.16, $10.17, $10.07
06/29/2020, $10.04, 300, $10.04, $10.04, $10.04
06/26/2020, $10.24, 964, $10.34, $10.34, $10.183
06/25/2020, $10.23, 10000, $10.23, $10.23, $10.23
06/24/2020, $10.09, 176, $10.09, $10.09, $10.09
06/23/2020, $10.02, 710, $10.01, $10.02, $10
06/22/2020, $10.0259, 20281, $10.13, $10.15, $10
06/19/2020, $10, N/A, $10, $10, $10
06/18/2020, $10, 4801, $10, $10.04, $10
06/17/2020, $10.1, 6408, $10.1, $10.1, $10.1
06/16/2020, $10, 853, $10.05, $10.05, $10
06/15/2020, $10.04, N/A, $10.04, $10.04, $10.04
06/12/2020, $10.04, 2009, $10.05, $10.05, $9.95
06/11/2020, $10, 102423, $10.05, $10.05, $9.95
06/10/2020, $10.05, 20759, $10.05, $10.05, $10.05
06/09/2020, $10.045, 100, $10.045, $10.045, $10.045
06/08/2020, $9.95, N/A, $9.95, $9.95, $9.95
06/05/2020, $9.95, 3349, $10.08, $10.08, $9.95
06/04/2020, $10.0206, 350, $10.0206, $10.0206, $10.0206
06/03/2020, $10.05, 213, $10.05, $10.05, $10.05
06/02/2020, $10.04, 6897, $10.04, $10.0489, $9.95
06/01/2020, $10.0399, 317440, $10, $10.04, $9.945
05/29/2020, $9.9832, 423, $10, $10, $9.975
05/28/2020, $10.0474, 2534, $10.05, $10.05, $10.0474
05/27/2020, $10.05, N/A, $10.05, $10.05, $10.05
05/26/2020, $10.05, 302, $10.05, $10.05, $10.05
05/22/2020, $10.05, N/A, $10.05, $10.05, $10.05
05/21/2020, $10.05, N/A, $10.05, $10.05, $10.05
05/20/2020, $10.05, 850, $10.05, $10.05, $10.05
05/19/2020, $10.0498, 405, $10.05, $10.05, $10.0498
05/18/2020, $9.96, N/A, $9.96, $9.96, $9.96
05/15/2020, $9.96, N/A, $9.96, $9.96, $9.96
05/14/2020, $9.96, 700, $10, $10, $9.96
05/13/2020, $10.05, 3283, $10, $10.05, $10
05/12/2020, $10, 7710, $10.05, $10.05, $10
05/11/2020, $10, 414, $10, $10, $10
05/08/2020, $10, 9100, $10, $10, $10
05/07/2020, $10, 21459, $10, $10, $10
05/06/2020, $10.2, N/A, $10.2, $10.2, $10.2
05/05/2020, $10.2, 1125, $10.2, $10.2, $10.0433
05/04/2020, $10.2598, 256, $10.2598, $10.2598, $10.2598
05/01/2020, $9.78, 15107, $10.15, $10.15, $9.78
04/30/2020, $10.1475, 200, $10.1475, $10.1475, $10.1475
04/29/2020, $9.9012, N/A, $9.9012, $9.9012, $9.9012
04/28/2020, $9.9012, 62756, $10.05, $10.05, $9.75
04/27/2020, $9.75, 13516, $9.77, $9.77, $9.75
04/24/2020, $9.77, N/A, $9.77, $9.77, $9.77
04/23/2020, $9.77, 124, $9.77, $9.77, $9.77
04/22/2020, $9.805, 25429, $9.81, $9.81, $9.805
04/21/2020, $9.78, 50012, $9.78, $9.78, $9.78
04/20/2020, $9.8, N/A, $9.8, $9.8, $9.8
04/17/2020, $9.8, N/A, $9.8, $9.8, $9.8
04/16/2020, $9.8, 618, $9.8, $9.8, $9.8
04/15/2020, $9.716, 6304, $9.8, $9.8, $9.716
04/14/2020, $9.61, N/A, $9.61, $9.61, $9.61
04/13/2020, $9.61, N/A, $9.61, $9.61, $9.61
04/09/2020, $9.61, 10002, $9.61, $9.61, $9.61
